Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,17,Delino DeShields,TOP,"Ball, 17 Delino DeShields putout (5-3) for out number 1",1,0,,1,
2,20,Brian Klein,TOP,"Ball, Swinging Strike, 20 Brian Klein putout (flyout to left field) for out number 2",1,1,,1,
3,14,Zach Nehrir,TOP,"Ball, Ball, Ball, 14 Zach Nehrir advances to 1st (walk)",3,0,,,
4,30,Jose Sermo,TOP,"Ball, Ball, Called Strike, Foul, 30 Jose Sermo putout (strike out swinging) for out number 3",2,2,,1,
5,1,Wyatt Ulrich,BOTTOM,"Called Strike, 1 Wyatt Ulrich advances to 1st (single)",0,1,1,,
6,21,Darnell Sweeney,BOTTOM,"Ball, Ball, Ball, 21 Darnell Sweeney advances to 1st (walk), 1 Wyatt Ulrich advances to 2nd (21)",3,0,,,
7,15,Welington Dotel,BOTTOM,"15 Welington Dotel advances to 1st (fielder's choice), 1 Wyatt Ulrich advances to 3rd (15), 21 Darnell Sweeney putout (3-6) for out number 1",0,0,,,1
8,11,Jabari Henry,BOTTOM,"Ball, Called Strike, 11 Jabari Henry advances to 1st (single), 15 Welington Dotel advances to 3rd (11), 1 Wyatt Ulrich Scores Earned (11)",1,1,1,,
9,20,Mike Hart,BOTTOM,"Called Strike, Swinging Strike, Ball, 20 Mike Hartadvances to 1st (single), 11 Jabari Henry advances to 2nd (20), 15 Welington Dotel Scores Earned (20)",1,2,1,,
10,16,Hunter Clanin,BOTTOM,"Foul, Foul, 16 Hunter Clanin putout (fly out to right field) for out number 2",0,2,,,1
11,5,Trevor Achenbach,BOTTOM,"Ball, 5 Trevor Achenbach advances to 1st (fielder's choice), 20 Mike Hart putout (4-6) for out number 3",1,0,,,1
12,3,Hill Alexander,TOP,3 Hill Alexander advances to 1st (single),0,0,1,,
13,19,Ryan Hernandez,TOP,"Ball, Ball, 19 Ryan Hernandez putout (fly out to right field) for out number 1",2,0,,1,
14,24,Mark Karaviotis,TOP,"Called Strike, Swinging Strike, 24 Mark Karaviotisputout (strike out) for out number 2",0,2,,1,
15,13,Elmer Reyes,TOP,"Called Strike, Foul, Foul, 13 Elmer Reyes putout (fly out to center field) for out number 3",0,2,,1,
16,3,Jordan Barth,BOTTOM,"Foul, 3 Jordan Barth advances to 3rd (triple)",0,1,1,,
17,23,Marshall Rich,BOTTOM,"Called Strike, 23 Marshall Rich putout (1-3) for out number 1",0,1,,,1
18,1,Wyatt Ulrich,BOTTOM,"Ball, Called Strike, Foul, Ball, 1 Wyatt Ulrich advances to 1st (single), 1 Wyatt Ulrich advances to2nd (stolen base), 3 Jordan Barth Scores Earned (1)",2,2,1,,
19,21,Darnell Sweeney,BOTTOM,"Ball, Called Strike, Foul, Ball, 21 Darnell Sweeney putout (strike out swinging) for out number 2",2,2,,,1
20,15,Welington Dotel,BOTTOM,"Called Strike, Ball, Called Strike, 15 Welington Dotel putout (3U) for out number 3",1,2,,,1
21,9,Guillermo Quintana,TOP,"Ball, Ball, 9 Guillermo Quintana putout (4-3) forout number 1",2,0,,1,
22,17,Delino DeShields,TOP,"Foul, 17 Delino DeShields putout (6-3) for out number 2",0,1,,1,
23,20,Brian Klein,TOP,"Ball, Ball, Foul, Called Strike, 20 Brian Klein advances to 1st (single)",2,2,1,,
24,14,Zach Nehrir,TOP,"Called Strike, 14 Zach Nehrir putout (fly out to center field) for out number 3",0,1,,1,
25,11,Jabari Henry,BOTTOM,"Called Strike, 11 Jabari Henry advances to 2nd (double)",0,1,1,,
26,20,Mike Hart,BOTTOM,"Ball, Ball, 20 Mike Hart putout (fly out to left field) for out number 1",2,0,,,1
27,16,Hunter Clanin,BOTTOM,"16 Hunter Clanin advances to 1st (single), 11 Jabari Henry advances to 3rd (16)",0,0,1,,
28,5,Trevor Achenbach,BOTTOM,"Foul, Ball, 16 Hunter Clanin putout (caught stealing: CS 2-6) for out number 2, Called Strike, 5 Trevor Achenbach advances to 1st (single), 11 JabariHenry Scores Earned (5)",1,2,1,,1
29,3,Jordan Barth,BOTTOM,3 Jordan Barth putout (fly out to center field) for out number 3,0,0,,,1
30,30,Jose Sermo,TOP,"Called Strike, Swinging Strike, 30 Jose Sermo putout (strike out swinging) for out number 1",0,2,,1,
31,3,Hill Alexander,TOP,"Ball, Swinging Strike, Called Strike, 3 Hill Alexander putout (fly out to right field) for out number 2",1,2,,1,
32,19,Ryan Hernandez,TOP,"Ball, Called Strike, Swinging Strike, Ball, Foul,Ball, 19 Ryan Hernandez Scores Earned (home run)",3,2,1,,
33,24,Mark Karaviotis,TOP,"Called Strike, Foul, Ball, 24 Mark Karaviotis putout (strike out swinging) for out number 3",1,2,,1,
34,23,Marshall Rich,BOTTOM,"Foul, Ball, Foul, 23 Marshall Rich putout (fly outto left field) for out number 1",1,2,,,1
35,1,Wyatt Ulrich,BOTTOM,"Ball, Ball, Called Strike, Foul, 1 Wyatt Ulrich putout (strike out swinging) for out number 2",2,2,,,1
36,21,Darnell Sweeney,BOTTOM,21 Darnell Sweeney putout (3-1) for out number 3,0,0,,,1
37,13,Elmer Reyes,TOP,"Ball, Called Strike, 13 Elmer Reyes putout (fly out to center field) for out number 1",1,1,,1,
38,9,Guillermo Quintana,TOP,"Ball, Ball, Foul, Ball, 9 Guillermo Quintana putout (fly out to left field) for out number 2",3,1,,1,
39,17,Delino DeShields,TOP,17 Delino DeShields putout (6-3) for out number 3,0,0,,1,
40,15,Welington Dotel,BOTTOM,"Ball, Foul, 15 Welington Dotel putout (6-3) for out number 1",1,1,,,1
41,11,Jabari Henry,BOTTOM,"Called Strike, Ball, 11 Jabari Henry advances to 1st (single)",1,1,1,,
42,20,Mike Hart,BOTTOM,"20 Mike Hart advances to 1st (hit by pitch), 11 Jabari Henry advances to 2nd (20)",0,0,,,
43,16,Hunter Clanin,BOTTOM,"Ball, Ball, 16 Hunter Clanin advances to 1st (single), 20 Mike Hart advances to 3rd (16), 11 JabariHenry Scores Earned (16)",2,0,1,,
44,5,Trevor Achenbach,BOTTOM,"Called Strike, 5 Trevor Achenbach putout (fly outto left field) for out number 2",0,1,,,1
45,3,Jordan Barth,BOTTOM,"Ball, Ball, Ball, 3 Jordan Barth advances to 1st (walk), 16 Hunter Clanin advances to 2nd (3)",3,0,,,
46,23,Marshall Rich,BOTTOM,"Called Strike, Swinging Strike, 23 Marshall Rich advances to 1st (single), 3 Jordan Barth advances to 2nd (23), 20 Mike Hart Scores Earned (23), 16 Hunter Clanin Scores Earned (23)Pitching Substitution    34 Travis Perry subs for Riley Smith Pitcher.",0,2,1,,
47,1,Wyatt Ulrich,BOTTOM,"Ball, Ball, Foul, Called Strike, 1 Wyatt Ulrich putout (strike out) for out number 3",2,2,,,1
48,20,Brian Klein,TOP,"Called Strike, Ball, 20 Brian Klein putout (fly out to center field) for out number 1",1,1,,1,
49,14,Zach Nehrir,TOP,14 Zach Nehrir putout (5-3) for out number 2,0,0,,1,
50,30,Jose Sermo,TOP,30 Jose Sermo putout (3-1) for out number 3,0,0,,1,
51,21,Darnell Sweeney,BOTTOM,"Ball, Ball, 21 Darnell Sweeney putout (4-3) for out number 1",2,0,,,1
52,15,Welington Dotel,BOTTOM,"Ball, Ball, Ball, Called Strike, Foul, 15 Welington Dotel putout (strike out swinging) for out number 2",3,2,,,1
53,11,Jabari Henry,BOTTOM,"Called Strike, 11 Jabari Henry advances to 1st (single)",0,1,1,,
54,20,Mike Hart,BOTTOM,"Ball, 20 Mike Hart advances to 1st (hit by pitch),11 Jabari Henry advances to 2nd (20)",1,0,,,
55,16,Hunter Clanin,BOTTOM,"Ball, Ball, Called Strike, Foul, Foul, Foul, Ball,16 Hunter Clanin putout (strike out swinging) forout number 3",3,2,,,1
56,3,Hill Alexander,TOP,"Ball, Ball, 3 Hill Alexander advances to 1st (single)",2,0,1,,
57,19,Ryan Hernandez,TOP,"19 Ryan Hernandez advances to 1st (fielder's choice), 3 Hill Alexander putout (5-4) for out number 1",0,0,,1,
58,24,Mark Karaviotis,TOP,"Foul, Ball, Foul, 24 Mark Karaviotis putout (strike out swinging) for out number 2",1,2,,1,
59,13,Elmer Reyes,TOP,"Ball, Ball, Swinging Strike, 13 Elmer Reyes advances to 1st (single), 19 Ryan Hernandez advances to2nd (13)",2,1,1,,
