Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,0,Osvaldo Martinez,TOP,"Called Strike, Foul, 0 Osvaldo Martinez putout (fly out to right field) for out number 1",0,2,,1,
2,3,Jordan Barth,TOP,"Ball, Foul, 3 Jordan Barth advances to 1st (hit bypitch)",1,1,,,
3,24,Jabari Henry,TOP,"Called Strike, Foul, Ball, 3 Jordan Barth Scores Earned (24), 24 Jabari Henry Scores Earned (home run)",1,2,1,,
4,20,Mike Hart,TOP,"Ball, Foul, Called Strike, Foul, 20 Mike Hart putout (strike out swinging) for out number 2",1,2,,1,
5,21,Darnell Sweeney,TOP,"Foul, Swinging Strike, 21 Darnell Sweeney advancesto 1st (single)",0,2,1,,
6,5,Trevor Achenbach,TOP,"Ball, 5 Trevor Achenbach putout (1-3) for out number 3",1,0,,1,
7,17,Daniel Lingua,BOTTOM,"Called Strike, Called Strike, Ball, 17 Daniel Lingua putout (6-3) for out number 1",1,2,,,1
8,29,Gio Diaz,BOTTOM,29 Gio Diaz putout (fly out to right field) for out number 2,0,0,,,1
9,44,Jackson Valera,BOTTOM,"Ball, Ball, Ball, 44 Jackson Valera advances to 1st (walk)",3,0,,,
10,25,Jesus Marriaga,BOTTOM,"Ball, Ball, Ball, Called Strike, Swinging Strike,25 Jesus Marriaga putout (strike out) for out number 3",3,2,,,1
11,16,Hunter Clanin,TOP,"Called Strike, Ball, Foul, 16 Hunter Clanin putout(L4) for out number 1",1,2,,1,
12,35,Shamoy Christopher,TOP,"Ball, 35 Shamoy Christopher putout (fly out to left field) for out number 2",1,0,,1,
13,1,Wyatt Ulrich,TOP,"Called Strike, Ball, Swinging Strike, Ball, 1 Wyatt Ulrich advances to 1st (single)",2,2,1,,
14,0,Osvaldo Martinez,TOP,"Ball, Called Strike, Called Strike, 1 Wyatt Ulrichputout (caught stealing: CS 2-4) for out number 3",1,2,,1,
15,20,LG Castillo,BOTTOM,20 LG Castillo putout (fly out to center field) for out number 1,0,0,,,1
16,22,Francisco Del,BOTTOM,"Valle Ball, Foul, Ball, Ball, Foul, 22 Francisco Del Valle putout (L4) for out number 2",3,2,,,1
17,11,Victor Nova,BOTTOM,"Ball, Called Strike, Foul, Ball, 11 Victor Nova putout (4-3) for out number 3",2,2,,,1
18,0,Osvaldo Martinez,TOP,"Ball, Called Strike, Ball, Ball, 0 Osvaldo Martinez advances to 1st (single)",3,1,1,,
19,3,Jordan Barth,TOP,"Called Strike, Ball, 3 Jordan Barth advances to 1st (single to right field), 0 Osvaldo Martinez advances to 2nd (3)",1,1,1,,
20,24,Jabari Henry,TOP,"Foul, Called Strike, 24 Jabari Henry putout (strike out swinging) for out number 1",0,2,,1,
21,20,Mike Hart,TOP,"Called Strike, Foul, 3 Jordan Barth putout (4-6) for out number 2, 20 Mike Hart putout (4-6-3 DP) for out number 3",0,2,,1,
22,14,Seth Caddell,BOTTOM,"Ball, 14 Seth Caddell putout (fly out to center field) for out number 1",1,0,,,1
23,28,Will Decker,BOTTOM,"Foul, 28 Will Decker putout (fly out to the catcher in foul territory) for out number 2",0,1,,,1
24,17,Daniel Lingua,BOTTOM,"Ball, Ball, 17 Daniel Lingua putout (fly out to center field) for out number 3",2,0,,,1
25,21,Darnell Sweeney,TOP,"Ball, Ball, Foul, Foul, Ball, Foul, 21 Darnell Sweeney putout (strike out swinging) for out number 1",3,2,,1,
26,5,Trevor Achenbach,TOP,"Called Strike, Foul, Foul, Ball, 5 Trevor Achenbach putout (P4) for out number 2",1,2,,1,
27,16,Hunter Clanin,TOP,16 Hunter Clanin advances to 1st (single),0,0,1,,
28,35,Shamoy Christopher,TOP,35 Shamoy Christopher putout (4-3) for out number3,0,0,,1,
29,29,Gio Diaz,BOTTOM,"Called Strike, Ball, Swinging Strike, 29 Gio Diazputout (strike out) for out number 1",1,2,,,1
30,44,Jackson Valera,BOTTOM,"Foul, 44 Jackson Valera putout (5-3) for out number 2",0,1,,,1
31,25,Jesus Marriaga,BOTTOM,"Called Strike, 25 Jesus Marriaga advances to 1st (single)",0,1,1,,
32,20,LG Castillo,BOTTOM,"Foul, Called Strike, Ball, 25 Jesus Marriaga advances to 2nd (stolen base), Foul, Ball, 20 LG Castillo putout (strike out swinging) for out number 3",2,2,,,1
33,1,Wyatt Ulrich,TOP,"Called Strike, Ball, 1 Wyatt Ulrich advances to 1st (single to the pitcher)",1,1,1,,
34,0,Osvaldo Martinez,TOP,"Called Strike, Foul, Ball, Ball, Foul, Ball, 0 Osvaldo Martinez advances to 1st (single), 1 Wyatt Ulrich advances to 3rd (0)",3,2,1,,
35,3,Jordan Barth,TOP,"Foul, Foul, 3 Jordan Barth putout (strike out swinging) for out number 1",0,2,,1,
36,24,Jabari Henry,TOP,"Ball, 0 Osvaldo Martinez Scores Earned (24), 24 Jabari Henry Scores Earned (home run), 1 Wyatt Ulrich Scores Earned (24)",1,0,1,,
37,20,Mike Hart,TOP,"Ball, 20 Mike Hart putout (fly out to left field)for out number 2",1,0,,1,
38,21,Darnell Sweeney,TOP,"Ball, 21 Darnell Sweeney advances to 1st (single to center field)",1,0,1,,
39,5,Trevor Achenbach,TOP,"Ball, 21 Darnell Sweeney advances to 2nd (wild pitch), Ball, 5 Trevor Achenbach putout (P4) for outnumber 3",2,0,,1,
40,22,Francisco Del,BOTTOM,"Valle Foul, 22 Francisco Del Valle putout (fly out to left field) for out number 1",0,1,,,1
41,11,Victor Nova,BOTTOM,"Called Strike, Ball, Foul, Ball, 11 Victor Nova putout (fly out to center field) for out number 2",2,2,,,1
42,14,Seth Caddell,BOTTOM,"Ball, Ball, Ball, Called Strike, 14 Seth Caddell advances to 1st (walk)",3,1,,,
43,28,Will Decker,BOTTOM,"Foul, Ball, 28 Will Decker advances to 1st (single), 28 Will Decker advances to 2nd (error by the right fielder), 14 Seth Caddell advances to 3rd (28)",1,1,1,,
44,17,Daniel Lingua,BOTTOM,"Ball, Foul, Ball, Called Strike, 17 Daniel Linguaputout (4-3) for out number 3",2,2,,,1
45,16,Hunter Clanin,TOP,"Called Strike, Ball, Ball, Ball, Foul, 16 Hunter Clanin putout (fly out to center field) for out number 1",3,2,,1,
46,35,Shamoy Christopher,TOP,"Called Strike, 35 Shamoy Christopher putout (P4) for out number 2",0,1,,1,
47,1,Wyatt Ulrich,TOP,"Ball, Called Strike, Ball, Called Strike, Foul, Ball, Foul, 1 Wyatt Ulrich advances to 1st (single)",3,2,1,,
48,0,Osvaldo Martinez,TOP,"Called Strike, Called Strike, 0 Osvaldo Martinez advances to 1st (single to right field), 1 Wyatt Ulrich advances to 3rd (0)Pitching Substitution    10 Jared Price subs for Edward Cuello Pitcher.",0,2,1,,
49,3,Jordan Barth,TOP,"Called Strike, 0 Osvaldo Martinez advances to 2nd(stolen base), Foul, Foul, Foul, Ball, Ball, 3 Jordan Barth advances to 1st (single to shortstop), 0Osvaldo Martinez advances to 3rd (3), 1 Wyatt Ulrich Scores Earned (3)",2,2,1,,
50,24,Jabari Henry,TOP,"Swinging Strike, Foul, Foul, Ball, Ball, 24 JabariHenry advances to 2nd (double to left field), 0 Osvaldo Martinez Scores Earned (24), 3 Jordan BarthScores Earned (24)",2,2,1,,
51,20,Mike Hart,TOP,"Ball, Swinging Strike, 20 Mike Hart advances to 1st (hit by pitch)",1,1,,,
52,21,Darnell Sweeney,TOP,"Ball, Called Strike, Ball, Swinging Strike, Foul,Foul, Ball, 21 Darnell Sweeney putout (strike outswinging) for out number 3",3,2,,1,
53,29,Gio Diaz,BOTTOM,"Ball, Swinging Strike, Foul, 29 Gio Diaz putout (L9) for out number 1",1,2,,,1
54,44,Jackson Valera,BOTTOM,"Called Strike, Foul, Foul, Ball, Ball, Ball, 44 Jackson Valera advances to 1st (single)",3,2,1,,
55,25,Jesus Marriaga,BOTTOM,"Called Strike, Ball, Swinging Strike, Ball, 25 Jesus Marriaga advances to 1st (fielder's choice), 44Jackson Valera putout (5-4) for out number 2",2,2,,,1
56,20,LG Castillo,BOTTOM,"Ball, Ball, 20 LG Castillo putout (4-3) for out number 3",2,0,,,1
57,5,Trevor Achenbach,TOP,"Foul, Ball, Swinging Strike, 5 Trevor Achenbach putout (5-3) for out number 1",1,2,,1,
58,16,Hunter Clanin,TOP,"Ball, Ball, 16 Hunter Clanin putout (fly out to right field) for out number 2",2,0,,1,
59,35,Shamoy Christopher,TOP,"Called Strike, Called Strike, Ball, 35 Shamoy Christopher putout (4-3) for out number 3",1,2,,1,
60,22,Francisco Del,BOTTOM,"Valle Foul, 22 Francisco Del Valle advances to 1st (single)",0,1,1,,
61,11,Victor Nova,BOTTOM,"Ball, Foul, Ball, Ball, 11 Victor Nova advances to1st (walk), 22 Francisco Del Valle advances to 2nd (11)",3,1,,,
62,14,Seth Caddell,BOTTOM,14 Seth Caddell putout (fly out to the first baseman in foul territory) for out number 1,0,0,,,1
63,28,Will Decker,BOTTOM,"Ball, 28 Will Decker putout (P6) for out number 2",1,0,,,1
64,17,Daniel Lingua,BOTTOM,"Ball, Called Strike, 17 Daniel Lingua advances to1st (fielder's choice), 11 Victor Nova putout (6UA) for out number 3",1,1,,,1
65,1,Wyatt Ulrich,TOP,"Called Strike, Ball, 1 Wyatt Ulrich advances to 1st (error by the third baseman)",1,1,,,
66,0,Osvaldo Martinez,TOP,"0 Osvaldo Martinez advances to 1st (single), 1 Wyatt Ulrich advances to 2nd (0)",0,0,1,,
67,3,Jordan Barth,TOP,"Called Strike, Foul, Foul, Foul, Ball, 3 Jordan Barth advances to 2nd (double), 0 Osvaldo Martinez advances to 3rd (3), 0 Osvaldo Martinez Scores Earned (error by the right fielder), 1 Wyatt Ulrich Scores Unearned (3)",1,2,1,,
68,24,Jabari Henry,TOP,"Ball, 24 Jabari Henry putout (fly out to left field) for out number 1Pitching Substitution    57 Oddy Nunez subs for Jared Price Pitcher.",1,0,,1,
69,20,Mike Hart,TOP,"Ball, Swinging Strike, Ball, Swinging Strike, 3 Jordan Barth advances to 3rd (20), 20 Mike Hart putout (5-3) for out number 2",2,2,,1,
70,21,Darnell Sweeney,TOP,"Ball, 21 Darnell Sweeney advances to 1st (error bythe first baseman), 3 Jordan Barth Scores Unearned (21)",1,0,,,
71,5,Trevor Achenbach,TOP,"Called Strike, Swinging Strike, 5 Trevor Achenbachputout (strike out swinging) for out number 3",0,2,,1,
72,29,Gio Diaz,BOTTOM,"Ball, Foul, 29 Gio Diaz advances to 1st (single toright field)",1,1,1,,
73,44,Jackson Valera,BOTTOM,"Called Strike, Ball, Ball, Ball, Called Strike, Foul, 29 Gio Diaz putout (4) for out number 1, 44 Jackson Valera putout (4-3 DP) for out number 2",3,2,,,1
74,25,Jesus Marriaga,BOTTOM,"Ball, Called Strike, Ball, Swinging Strike, 25 Jesus Marriaga putout (strike out swinging) for out number 3",2,2,,,1
75,16,Hunter Clanin,TOP,"Called Strike, Ball, Ball, 16 Hunter Clanin putout(3UA) for out number 1",2,1,,1,
76,35,Shamoy Christopher,TOP,"Ball, Swinging Strike, Ball, Ball, 35 Shamoy Christopher putout (3UA) for out number 2",3,1,,1,
77,1,Wyatt Ulrich,TOP,1 Wyatt Ulrich putout (L8) for out number 3,0,0,,1,
78,20,LG Castillo,BOTTOM,"Ball, Ball, Ball, Called Strike, 20 LG Castillo putout (fly out to center field) for out number 1",3,1,,,1
79,22,Francisco Del,BOTTOM,"Valle Ball, Ball, Ball, 22 Francisco Del Valle advancesto 1st (walk)",3,0,,,
80,11,Victor Nova,BOTTOM,"Ball, Called Strike, Ball, 22 Francisco Del Valleputout (6-5) for out number 2, 11 Victor Nova putout (6-5-3 DP) for out number 3",2,1,,,1
