Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,21,Darnell Sweeney,TOP,"Ball, Ball, Ball, Called Strike, Called Strike, 21Darnell Sweeney putout (fly out to left field) for out number 1",3,2,,1,
2,1,Wyatt Ulrich,TOP,"Ball, Ball, Ball, Called Strike, 1 Wyatt Ulrich advances to 1st (single)",3,1,1,,
3,3,Jordan Barth,TOP,"Ball, 3 Jordan Barth advances to 1st (single), 1 Wyatt Ulrich advances to 2nd (3)",1,0,1,,
4,11,Jabari Henry,TOP,"Called Strike, Swinging Strike, Ball, Ball, Ball,Foul, 11 Jabari Henry advances to 1st (walk), 3 Jordan Barth advances to 2nd (11), 1 Wyatt Ulrich advances to 3rd (11)",3,2,,,
5,20,Mike Hart,TOP,"Swinging Strike, Ball, 11 Jabari Henry advances to2nd (20), 11 Jabari Henry advances to 3rd (errorby the center fielder), 1 Wyatt Ulrich Scores Earned (20), 3 Jordan Barth Scores Earned (20), 20 Mike Hart advances to 1st (single)",1,1,1,,
6,5,Trevor Achenbach,TOP,"Called Strike, Ball, 20 Mike Hart advances to 2nd(20), 5 Trevor Achenbach advances to 1st (single),20 Mike Hart advances to 3rd (5), 11 Jabari HenryScores Earned (5)",1,1,1,,
7,15,Welington Dotel,TOP,"Ball, Swinging Strike, Ball, 15 Welington Dotel advances to 1st (single), 5 Trevor Achenbach advances to 2nd (15), 20 Mike Hart Scores Earned (15)",2,1,1,,
8,35,Shamoy Christopher,TOP,"Ball, Ball, Ball, 35 Shamoy Christopher advances to 1st (walk), 15 Welington Dotel advances to 2nd (35), 5 Trevor Achenbach advances to 3rd (35)",3,0,,,
9,0,Osvaldo Martinez,TOP,"Ball, Ball, Ball, 0 Osvaldo Martinez advances to 1st (walk), 35 Shamoy Christopher advances to 2nd (0), 15 Welington Dotel advances to 3rd (0), 5 Trevor Achenbach Scores Earned (0)Pitching Substitution    19 Augie Voight subs for Jorge Guzman Pitcher.",3,0,,,
10,21,Darnell Sweeney,TOP,"Called Strike, 21 Darnell Sweeney putout (3 Dp) for out number 2, 0 Osvaldo Martinez putout (3-3 DP)for out number 3",0,1,,1,
11,20,Blake Tiberi,BOTTOM,"Called Strike, Swinging Strike, Ball, Foul, Foul,Ball, 20 Blake Tiberi putout (fly out to left field) for out number 1",2,2,,,1
12,17,Thomas Jones,BOTTOM,"Called Strike, Foul, Foul, Ball, Ball, Ball, 17 Thomas Jones putout (6-3) for out number 2",3,2,,,1
13,7,Demetrius Sims,BOTTOM,"Ball, Ball, Called Strike, Ball, 7 Demetrius Simsadvances to 1st (walk)",3,1,,,
14,9,Marcus Chiu,BOTTOM,"Ball, 9 Marcus Chiu advances to 2nd (ground rule double), 7 Demetrius Sims advances to 3rd (9)",1,0,1,,
15,25,Curtis Terry,BOTTOM,"Ball, Foul, Ball, Foul, Foul, 25 Curtis Terry putout (strike out swinging) for out number 3",2,2,,,1
16,1,Wyatt Ulrich,TOP,"Ball, 1 Wyatt Ulrich putout (4-3) for out number 1",1,0,,1,
17,3,Jordan Barth,TOP,"Ball, Foul, 3 Jordan Barth putout (5-3) for out number 2",1,1,,1,
18,11,Jabari Henry,TOP,"Ball, Called Strike, Called Strike, 11 Jabari Henry advances to 1st (single), 11 Jabari Henry putout(8-4) for out number 3",1,2,1,1,
19,15,Kevin Maitan,BOTTOM,"Ball, Foul, Ball, Called Strike, Foul, Ball, 15 Kevin Maitan advances to 1st (walk)",3,2,,,
