Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,21,Darnell Sweeney,TOP,"Ball, 21 Darnell Sweeney advances to 1st (single to right field)",1,0,1,,
2,15,Welington Dotel,TOP,"Ball, Ball, 21 Darnell Sweeney putout (caught stealing: CS 2-6) for out number 1, Called Strike, 15Welington Dotel advances to 1st (single to shortstop)",2,1,1,1,
3,3,Jordan Barth,TOP,"Called Strike, 3 Jordan Barth advances to 1st (fielder's choice), 15 Welington Dotel putout (6-4) for out number 2",0,1,,1,
4,20,Mike Hart,TOP,"Ball, Called Strike, Swinging Strike, Ball, 3 Jordan Barth advances to 2nd (stolen base), Ball, 3 Jordan Barth advances to 3rd (wild pitch), 20 Mike Hart putout (strike out swinging) for out number 3",3,2,,1,
5,1,Bryan Torres,BOTTOM,"Swinging Strike, Ball, 1 Bryan Torres putout (flyout to center field) for out number 1",1,1,,,1
6,14,Cam Balego,BOTTOM,"Ball, Ball, Ball, Foul, Called Strike, 14 Cam Balego Scores Earned (home run)",3,2,1,,
7,21,Gabriel Cancel,BOTTOM,"Ball, Called Strike, Ball, Foul, 21 Gabriel Cancelputout (strike out swinging) for out number 2",2,2,,,1
8,13,Miguel Gomez,BOTTOM,"Ball, Foul, 13 Miguel Gomez advances to 1st (single to center field)",1,1,1,,
9,5,Roy Morales,BOTTOM,"Ball, Called Strike, 5 Roy Morales putout (fly outto center field) for out number 3",1,1,,,1
10,11,Jabari Henry,TOP,11 Jabari Henry advances to 2nd (double to left field),0,0,1,,
11,1,Wyatt Ulrich,TOP,"Ball, 11 Jabari Henry advances to 3rd (11), 1 Wyatt Ulrich putout (4-3) for out number 1",1,0,,1,
12,16,Hunter Clanin,TOP,"Called Strike, Ball, Ball, Ball, 11 Jabari Henry Scores Earned (16), 16 Hunter Clanin putout (sacrifice fly to right fielder) for out number 2",3,1,,1,
13,33,Tyler Ryan,TOP,"Foul, Swinging Strike, 33 Tyler Ryan advances to 2nd (double to left field)",0,2,1,,
14,5,Trevor Achenbach,TOP,5 Trevor Achenbach putout (5-3) for out number 3,0,0,,1,
15,26,Drew Ward,BOTTOM,"Called Strike, Ball, Foul, 26 Drew Ward putout (strike out swinging) for out number 1",1,2,,,1
16,11,Aaron Hill,BOTTOM,"Called Strike, Swinging Strike, Foul, Ball, 11 Aaron Hill putout (5-3) for out number 2",1,2,,,1
17,9,Rudy Martin,BOTTOM,9 Rudy Martin putout (3U) for out number 3,0,0,,,1
18,21,Darnell Sweeney,TOP,"Foul, Ball, Foul, Ball, 21 Darnell Sweeney putout(fly out to right field) for out number 1",2,2,,1,
19,15,Welington Dotel,TOP,"Ball, Swinging Strike, 15 Welington Dotel putout (6-3) for out number 2",1,1,,1,
20,3,Jordan Barth,TOP,3 Jordan Barth putout (5-3) for out number 3,0,0,,1,
21,22,Reggie Pruitt,BOTTOM,"Jr.   Ball, Called Strike, 22 Reggie Pruitt Jr. putout (P3) for out number 1",1,1,,,1
22,1,Bryan Torres,BOTTOM,1 Bryan Torres putout (3U) for out number 2,0,0,,,1
23,14,Cam Balego,BOTTOM,14 Cam Balego advances to 1st (single to center field),0,0,1,,
24,21,Gabriel Cancel,BOTTOM,"Foul, Ball, 21 Gabriel Cancel putout (fly out to right field) for out number 3",1,1,,,1
25,20,Mike Hart,TOP,"Ball, Called Strike, Ball, Called Strike, 20 MikeHart putout (strike out swinging) for out number 1",2,2,,1,
26,11,Jabari Henry,TOP,"Foul, Called Strike, 11 Jabari Henry putout (P4) for out number 2",0,2,,1,
27,1,Wyatt Ulrich,TOP,"Called Strike, 1 Wyatt Ulrich advances to 1st (error by the third baseman), 1 Wyatt Ulrich advancesto 3rd (1)",0,1,,,
28,16,Hunter Clanin,TOP,"16 Hunter Clanin advances to 1st (single to shortstop), 1 Wyatt Ulrich Scores Unearned (16)",0,0,1,,
29,33,Tyler Ryan,TOP,"Foul, Ball, Foul, Foul, 33 Tyler Ryan putout (5-3)for out number 3",1,2,,1,
30,13,Miguel Gomez,BOTTOM,"Called Strike, Ball, 13 Miguel Gomez advances to 1st (single to right field)",1,1,1,,
31,5,Roy Morales,BOTTOM,"Foul, Foul, Ball, Foul, Ball, Foul, Ball, Foul, Foul, 5 Roy Morales advances to 1st (walk), 13 Miguel Gomez advances to 2nd (5)",3,2,,,
32,26,Drew Ward,BOTTOM,"Ball, Ball, 13 Miguel Gomez advances to 3rd (13),5 Roy Morales putout (4-6) for out number 1, 26 Drew Ward putout (4-6-3 DP) for out number 2",2,0,,,1
33,11,Aaron Hill,BOTTOM,"11 Aaron Hill advances to 1st (single to left field), 13 Miguel Gomez Scores Earned (11)",0,0,1,,
34,9,Rudy Martin,BOTTOM,"Ball, Pickoff attempt at 1st base (pitcher to first baseman), Ball, Foul, Ball, 11 Aaron Hill advances to 2nd (stolen base), Called Strike, 9 Rudy Martin advances to 2nd (double to left field), 11 Aaron Hill Scores Earned (9)",3,2,1,,
35,22,Reggie Pruitt,BOTTOM,"Jr.   Ball, Called Strike, 22 Reggie Pruitt Jr. putout (4-3) for out number 3",1,1,,,1
36,5,Trevor Achenbach,TOP,"Called Strike, Ball, Called Strike, Ball, Ball, 5Trevor Achenbach advances to 1st (walk)",3,2,,,
37,21,Darnell Sweeney,TOP,"21 Darnell Sweeney advances to 2nd (ground rule double), 5 Trevor Achenbach advances to 3rd (21)",0,0,1,,
38,15,Welington Dotel,TOP,"Ball, Swinging Strike, Foul, 15 Welington Dotel advances to 1st (single to right field), 15 Welington Dotel advances to 2nd (15), 21 Darnell Sweeney advances to 3rd (15), 5 Trevor Achenbach Scores Earned (15), 21 Darnell Sweeney putout (9-2) for outnumber 1",1,2,1,1,
39,3,Jordan Barth,TOP,"Called Strike, Foul, 3 Jordan Barth advances to 1st (single to right field), 15 Welington Dotel advances to 3rd (3)",0,2,1,,
40,20,Mike Hart,TOP,"Ball, 20 Mike Hart putout (P2) for out number 2",1,0,,1,
41,11,Jabari Henry,TOP,"Ball, Ball, Ball, 11 Jabari Henry advances to 1st(single to left field), 3 Jordan Barth advances to2nd (11), 15 Welington Dotel Scores Earned (11)",3,0,1,,
42,1,Wyatt Ulrich,TOP,1 Wyatt Ulrich putout (fly out to left field) forout number 3,0,0,,1,
43,1,Bryan Torres,BOTTOM,"Ball, Called Strike, 1 Bryan Torres putout (fly out to center field) for out number 1",1,1,,,1
44,14,Cam Balego,BOTTOM,"Called Strike, Ball, Called Strike, Ball, Ball, 14Cam Balego advances to 1st (walk)",3,2,,,
45,21,Gabriel Cancel,BOTTOM,"Called Strike, Ball, 14 Cam Balego advances to 2nd(14), 21 Gabriel Cancel putout (5-3) for out number 2",1,1,,,1
46,13,Miguel Gomez,BOTTOM,"Ball, Called Strike, 13 Miguel Gomez putout (L4) for out number 3",1,1,,,1
47,16,Hunter Clanin,TOP,"Ball, Called Strike, Foul, Ball, Foul, Foul, 16 Hunter Clanin putout (fly out to right field) for out number 1",2,2,,1,
48,33,Tyler Ryan,TOP,"Swinging Strike, Called Strike, Ball, Foul, 33 Tyler Ryan putout (4-3) for out number 2",1,2,,1,
49,5,Trevor Achenbach,TOP,"Called Strike, Foul, Ball, Foul, Foul, 5 Trevor Achenbach putout (strike out) for out number 3",1,2,,1,
50,5,Roy Morales,BOTTOM,"Ball, Foul, Called Strike, Ball, 5 Roy Morales putout (fly out to center field) for out number 1",2,2,,,1
51,26,Drew Ward,BOTTOM,"Ball, Foul, Foul, Ball, Ball, 26 Drew Ward putout(strike out) for out number 2",3,2,,,1
52,11,Aaron Hill,BOTTOM,"Called Strike, Ball, Foul, 11 Aaron Hill putout (strike out) for out number 3",1,2,,,1
53,21,Darnell Sweeney,TOP,"Ball, 21 Darnell Sweeney advances to 3rd (triple to center field)",1,0,1,,
54,15,Welington Dotel,TOP,"Ball, Foul, 15 Welington Dotel putout (L4) for outnumber 1",1,1,,1,
55,3,Jordan Barth,TOP,"Ball, Swinging Strike, 3 Jordan Barth putout (1U)for out number 2",1,1,,1,
56,20,Mike Hart,TOP,"20 Mike Hart advances to 1st (single to right field), 21 Darnell Sweeney Scores Earned (20)",0,0,1,,
57,11,Jabari Henry,TOP,"Ball, Called Strike, Foul, Ball, Ball, 11 Jabari Henry advances to 1st (walk), 20 Mike Hart advancesto 2nd (11)",3,2,,,
58,1,Wyatt Ulrich,TOP,"Called Strike, Called Strike, 1 Wyatt Ulrich putout (6-3) for out number 3",0,2,,1,
59,9,Rudy Martin,BOTTOM,"Called Strike, Called Strike, Ball, 9 Rudy Martinputout (strike out swinging) for out number 1",1,2,,,1
60,22,Reggie Pruitt,BOTTOM,"Jr.   Foul, Foul, Foul, Ball, 22 Reggie Pruitt Jr. putout (6-3) for out number 2",1,2,,,1
61,1,Bryan Torres,BOTTOM,"Foul, Ball, Ball, 1 Bryan Torres advances to 1st (single to left field)",2,1,1,,
62,14,Cam Balego,BOTTOM,"Called Strike, Foul, 14 Cam Balego putout (6-3) for out number 3",0,2,,,1
63,16,Hunter Clanin,TOP,"Called Strike, Ball, Swinging Strike, 16 Hunter Clanin putout (strike out swinging) for out number 1",1,2,,1,
64,33,Tyler Ryan,TOP,"Ball, Called Strike, Swinging Strike, Foul, 33 Tyler Ryan putout (strike out swinging) for out number 2",1,2,,1,
65,5,Trevor Achenbach,TOP,"Ball, Ball, Ball, Called Strike, 5 Trevor Achenbach advances to 1st (walk)",3,1,,,
66,21,Darnell Sweeney,TOP,"Ball, 5 Trevor Achenbach advances to 2nd (pass ball), Swinging Strike, Called Strike, Ball, Ball, Foul, 21 Darnell Sweeney advances to 1st (walk)",3,2,,,
67,15,Welington Dotel,TOP,"Called Strike, Swinging Strike, 15 Welington Dotelputout (P3) for out number 3",0,2,,1,
68,21,Gabriel Cancel,BOTTOM,"Called Strike, 21 Gabriel Cancel putout (fly out to right field) for out number 1",0,1,,,1
69,13,Miguel Gomez,BOTTOM,"Called Strike, Ball, 13 Miguel Gomez putout (4-3)for out number 2",1,1,,,1
70,5,Roy Morales,BOTTOM,"Called Strike, Ball, 5 Roy Morales putout (5-3) for out number 3",1,1,,,1
71,3,Jordan Barth,TOP,"Ball, Swinging Strike, Swinging Strike, Foul, Ball, 3 Jordan Barth putout (strike out swinging) forout number 1",2,2,,1,
72,20,Mike Hart,TOP,"Swinging Strike, Ball, Swinging Strike, Ball, 20 Mike Hart putout (strike out swinging) for out number 2",2,2,,1,
73,11,Jabari Henry,TOP,"Called Strike, Ball, Ball, Ball, 11 Jabari Henry advances to 1st (single to center field)",3,1,1,,
74,1,Wyatt Ulrich,TOP,"Foul, 1 Wyatt Ulrich advances to 1st (single to the catcher), 11 Jabari Henry advances to 2nd (1)",0,1,1,,
75,16,Hunter Clanin,TOP,"Ball, Ball, Swinging Strike, Ball, Called Strike,16 Hunter Clanin advances to 1st (walk), 1 Wyatt Ulrich advances to 2nd (16), 11 Jabari Henry advances to 3rd (16)",3,2,,,
76,33,Tyler Ryan,TOP,"Swinging Strike, Swinging Strike, Ball, 33 Tyler Ryan putout (strike out) for out number 3",1,2,,1,
77,26,Drew Ward,BOTTOM,"Ball, Swinging Strike, 26 Drew Ward advances to 1st (single to left field)",1,1,1,,
78,11,Aaron Hill,BOTTOM,"11 Aaron Hill advances to 2nd (double to right field), 26 Drew Ward advances to 3rd (11)",0,0,1,,
79,9,Rudy Martin,BOTTOM,"Swinging Strike, Called Strike, Ball, Ball, Ball,9 Rudy Martin putout (strike out swinging) for outnumber 1",3,2,,,1
80,22,Reggie Pruitt,BOTTOM,"Jr.   Foul, Foul, Ball, Foul, 22 Reggie Pruitt Jr. putout (P4) for out number 2",1,2,,,1
81,1,Bryan Torres,BOTTOM,"Called Strike, Foul, Foul, Foul, 1 Bryan Torres putout (4-3) for out number 3",0,2,,,1
