Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,21,Darnell Sweeney,TOP,"Swinging Strike, Ball, Ball, Foul, Foul, 21 Darnell Sweeney putout (fly out to the shortstop) for out number 1",2,2,,1,,A Drury,
2,3,Jordan Barth,TOP,"Ball, 3 Jordan Barth advances to 1st (single to center field)",1,0,1,,,A Drury,
3,1,Wyatt Ulrich,TOP,"Ball, Ball, Ball, Called Strike, 1 Wyatt Ulrich advances to 1st (walk), 3 Jordan Barth advances to 2nd (1)",3,1,,,,A Drury,
4,11,Jabari Henry,TOP,"Called Strike, Ball, Called Strike, 3 Jordan BarthScores Earned (11), 1 Wyatt Ulrich Scores Earned(11), 11 Jabari Henry Scores Earned (home run)",1,2,1,,,A Drury,
5,20,Mike Hart,TOP,"Called Strike, Called Strike, 20 Mike Hart putout(fly out to center field) for out number 2",0,2,,1,,A Drury,
6,5,Trevor Achenbach,TOP,"Ball, Called Strike, Called Strike, Ball, Foul, 5Trevor Achenbach putout (strike out swinging) forout number 3",2,2,,1,,A Drury,
7,1,Chase Harris,BOTTOM,"Swinging Strike, Ball, Ball, 1 Chase Harris putout(fly out to center field) for out number 1",2,1,,,1,,Akeem Bostick
8,7,Matt Lloyd,BOTTOM,"Ball, Foul, 7 Matt Lloyd advances to 1st (single to left field)",1,1,1,,,,Akeem Bostick
9,26,John Nogowski,BOTTOM,"Called Strike, Ball, Called Strike, Ball, Foul, 26John Nogowski advances to 1st (single to right field), 7 Matt Lloyd advances to 2nd (26)",2,2,1,,,,Akeem Bostick
10,8,Vince Fernandez,BOTTOM,"Ball, Ball, Ball, 8 Vince Fernandez advances to 1st (walk), 26 John Nogowski advances to 2nd (8), 7Matt Lloyd advances to 3rd (8)",3,0,,,,,Akeem Bostick
11,4,Miguel Sierra,BOTTOM,"Ball, Foul, Swinging Strike, Foul, Ball, Ball, Foul, Foul, Foul, 4 Miguel Sierra advances to 2nd (double to left field), 8 Vince Fernandez advances to3rd (4), 7 Matt Lloyd Scores Earned (4), 26 JohnNogowski Scores Earned (4)",3,2,1,,,,Akeem Bostick
12,33,Jake Ortega,BOTTOM,"Called Strike, 33 Jake Ortega putout (4-3) for outnumber 2",0,1,,,1,,Akeem Bostick
13,24,Wilfredo Gimenez,BOTTOM,"Foul, Ball, Foul, Ball, Ball, Foul, 8 Vince Fernandez Scores Earned (33), 4 Miguel Sierra Scores Earned (24), 24 Wilfredo Gimenez Scores Earned (homerun)",3,2,,,,,Akeem Bostick
14,18,Daniel Perez,BOTTOM,"Ball, Foul, Called Strike, Ball, 18 Daniel Perez putout (4-3) for out number 3",2,2,,,1,,Akeem Bostick
15,15,Welington Dotel,TOP,"Called Strike, Called Strike, Ball, Ball, 15 Welington Dotel putout (strike out swinging) for out number 1",2,2,,1,,A Drury,
16,35,Shamoy Christopher,TOP,"Ball, Foul, Ball, Ball, Foul, Foul, 35 Shamoy Christopher putout (strike out) for out number 2",3,2,,1,,A Drury,
17,16,Hunter Clanin,TOP,"16 Hunter Clanin advances to 1st (error by the left fielder), 16 Hunter Clanin advances to 2nd (16)",0,0,,,,A Drury,
18,21,Darnell Sweeney,TOP,"Ball, Ball, Swinging Strike, Called Strike, Ball,21 Darnell Sweeney advances to 2nd (double to leftfield), 16 Hunter Clanin Scores Unearned (21)",3,2,1,,,A Drury,
19,3,Jordan Barth,TOP,"Ball, 3 Jordan Barth advances to 1st (single to left field), 21 Darnell Sweeney Scores Unearned (3)",1,0,1,,,A Drury,
20,1,Wyatt Ulrich,TOP,"Ball, 1 Wyatt Ulrich putout (6-3) for out number 3",1,0,,1,,A Drury,
21,11,Delvin Zinn,BOTTOM,"Ball, Called Strike, Ball, Swinging Strike, 11 Delvin Zinn putout (6-3) for out number 1",2,2,,,1,,Akeem Bostick
22,1,Chase Harris,BOTTOM,1 Chase Harris putout (fly out to right field) forout number 2,0,0,,,1,,Akeem Bostick
23,7,Matt Lloyd,BOTTOM,"Ball, Foul, Ball, Ball, 7 Matt Lloyd putout (fly out to left field) for out number 3",3,1,,,1,,Akeem Bostick
24,11,Jabari Henry,TOP,"Ball, Ball, 11 Jabari Henry putout (4-3) for out number 1",2,0,,1,,A Drury,
25,20,Mike Hart,TOP,"Ball, Foul, Called Strike, Ball, Ball, 20 Mike Hart putout (strike out swinging) for out number 2",3,2,,1,,A Drury,
26,5,Trevor Achenbach,TOP,"Called Strike, 5 Trevor Achenbach advances to 1st(error by the pitcher), 5 Trevor Achenbach advances to 2nd (5)",0,1,,,,A Drury,
27,15,Welington Dotel,TOP,"Called Strike, Ball, 5 Trevor Achenbach advances to 3rd (stolen base), Foul, Foul, Ball, Foul, Ball,Foul, Foul, Foul, 5 Trevor Achenbach Scores Unearned (15), 15 Welington Dotel Scores Unearned (homerun)",3,2,,,,A Drury,
28,35,Shamoy Christopher,TOP,"Foul, Ball, 35 Shamoy Christopher putout (5-3) forout number 3",1,1,,1,,A Drury,
29,26,John Nogowski,BOTTOM,"Ball, Ball, 26 John Nogowski advances to 1st (single to center field)",2,0,1,,,,Akeem Bostick
30,8,Vince Fernandez,BOTTOM,"Foul, Ball, 8 Vince Fernandez putout (fly out to center field) for out number 1",1,1,,,1,,Akeem Bostick
31,4,Miguel Sierra,BOTTOM,"Ball, Called Strike, Foul, Ball, 4 Miguel Sierra putout (strike out swinging) for out number 2",2,2,,,1,,Akeem Bostick
32,33,Jake Ortega,BOTTOM,"Ball, 33 Jake Ortega putout (fly out to left field) for out number 3",1,0,,,1,,Akeem Bostick
33,16,Hunter Clanin,TOP,"Called Strike, Ball, Ball, Foul, Ball, 16 Hunter Clanin putout (strike out swinging) for out number1",3,2,,1,,F Peguero,
