Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,20,Blake Tiberi,TOP,"Ball, Ball, Swinging Strike, Swinging Strike, 20 Blake Tiberi advances to 1st (single)",2,2,1,,,Neil Lang,
2,13,Brian Rey,TOP,"Ball, Foul, Ball, Ball, Called Strike, 13 Brian Rey advances to 1st (single), 20 Blake Tiberi advances to 3rd (13)",3,2,1,,,Neil Lang,
3,7,Demetrius Sims,TOP,"Ball, Swinging Strike, Foul, Ball, Ball, 7 Demetrius Sims putout (strike out) for out number 1, 13 Brian Rey putout (2-4 DP BI) for out number 2",3,2,,1,,Neil Lang,
4,9,Marcus Chiu,TOP,"Ball, Swinging Strike, 9 Marcus Chiu putout (6-3)for out number 3",1,1,,1,,Neil Lang,
5,0,Osvaldo Martinez,BOTTOM,"Called Strike, Ball, Called Strike, Foul, 0 Osvaldo Martinez advances to 1st (single)",1,2,1,,,,J Hillman
6,3,Jordan Barth,BOTTOM,"Called Strike, Ball, 3 Jordan Barth advances to 1st (single), 0 Osvaldo Martinez advances to 2nd (3)",1,1,1,,,,J Hillman
7,11,Jabari Henry,BOTTOM,"Ball, Ball, Ball, 11 Jabari Henry advances to 1st(walk), 3 Jordan Barth advances to 2nd (11), 0 Osvaldo Martinez advances to 3rd (11)",3,0,,,,,J Hillman
8,20,Mike Hart,BOTTOM,"Called Strike, 3 Jordan Barth advances to 3rd (20), 0 Osvaldo Martinez Scores Earned (20), 20 Mike Hart putout (sacrifice fly to right fielder) for out number 1",0,1,,,1,,J Hillman
9,21,Darnell Sweeney,BOTTOM,"Ball, Ball, Foul, Foul, Foul, 21 Darnell Sweeney advances to 1st (single), 11 Jabari Henry advancesto 2nd (21), 3 Jordan Barth Scores Earned (21)",2,2,1,,,,J Hillman
10,5,Trevor Achenbach,BOTTOM,"Ball, 5 Trevor Achenbach advances to 1st (single)",1,0,1,,,,J Hillman
11,16,Hunter Clanin,BOTTOM,"Ball, 11 Jabari Henry advances to 3rd (16), Swinging Strike, 16 Hunter Clanin putout (fly out to thefirst baseman) for out number 2",1,1,,,1,,J Hillman
12,15,Welington Dotel,BOTTOM,"Ball, 5 Trevor Achenbach advances to 2nd (16), 21Darnell Sweeney advances to 3rd (16), 11 Jabari Henry Scores Earned (wild pitch), Foul, Foul, 15 Welington Dotel advances to 2nd (double), 21 DarnellSweeney Scores Earned (15), 5 Trevor Achenbach Scores Earned (15)",1,2,1,,,,J Hillman
13,29,Spencer Sarringar,BOTTOM,"Ball, 15 Welington Dotel advances to 3rd (stolen base), Called Strike, 29 Spencer Sarringar putout (4-3) for out number 3",1,1,,,1,,J Hillman
14,25,Curtis Terry,TOP,"Called Strike, Ball, Foul, 25 Curtis Terry putout(fly out to left field) for out number 1",1,2,,1,,Neil Lang,
15,17,Thomas Jones,TOP,"Ball, Foul, 17 Thomas Jones putout (fly out to center field) for out number 2",1,1,,1,,Neil Lang,
16,12,Dustin Woodcock,TOP,"Foul, 12 Dustin Woodcock putout (2-3) for out number 3",0,1,,1,,Neil Lang,
17,0,Osvaldo Martinez,BOTTOM,"Ball, Called Strike, Foul, Ball, Ball, Foul, Foul,Foul, 0 Osvaldo Martinez advances to 1st (walk)",3,2,,,,,J Hillman
18,3,Jordan Barth,BOTTOM,"Called Strike, 3 Jordan Barth advances to 1st (fielder's choice), 0 Osvaldo Martinez putout (6-4) for out number 1",0,1,,,1,,J Hillman
19,11,Jabari Henry,BOTTOM,"Ball, Swinging Strike, Foul, Ball, Ball, 11 JabariHenry putout (fly out to right field) for out number 2",3,2,,,1,,J Hillman
