Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,1,Wyatt Ulrich,TOP,"Called Strike, 1 Wyatt Ulrich advances to 2nd (double)",0,1,1,,,J Roeder,
2,3,Jordan Barth,TOP,"Foul, Foul, Foul, 3 Jordan Barth advances to 1st (single), 3 Jordan Barth advances to 2nd (stolen base), 1 Wyatt Ulrich advances to 3rd (3), 1 Wyatt Ulrich Scores Earned (error by the catcher)",0,2,1,,,J Roeder,
3,15,Welington Dotel,TOP,"Ball, Foul, Called Strike, Foul, Ball, Foul, 15 Welington Dotel putout (strike out swinging) for outnumber 1",2,2,,1,,J Roeder,
4,20,Mike Hart,TOP,"Ball, 3 Jordan Barth advances to 3rd (20), 20 MikeHart putout (3-1) for out number 2",1,0,,1,,J Roeder,
5,5,Trevor Achenbach,TOP,"Ball, 5 Trevor Achenbach putout (P5) for out number 3",1,0,,1,,J Roeder,
6,5,Nate Samson,BOTTOM,5 Nate Samson putout (1-3) for out number 1,0,0,,,1,,Akeem Bostick
7,9,Matt Goodheart,BOTTOM,"Ball, 9 Matt Goodheart putout (L3) for out number2",1,0,,,1,,Akeem Bostick
8,7,Nick Anderson,BOTTOM,"Ball, Ball, Ball, Called Strike, Called Strike, 7Nick Anderson putout (5-3) for out number 3",3,2,,,1,,Akeem Bostick
9,0,Osvaldo Martinez,TOP,"Called Strike, Called Strike, Ball, 0 Osvaldo Martinez putout (6-3) for out number 1",1,2,,1,,J Roeder,
10,11,Jabari Henry,TOP,"Ball, Swinging Strike, Ball, Ball, 11 Jabari Henryputout (6-3) for out number 2",3,1,,1,,J Roeder,
11,2,Marshall Rich,TOP,"Ball, 2 Marshall Rich putout (fly out to left field) for out number 3",1,0,,1,,J Roeder,
12,44,Yanio Perez,BOTTOM,"Ball, Foul, Ball, Ball, Called Strike, 44 Yanio Perez putout (strike out swinging) for out number 1",3,2,,,1,,Akeem Bostick
13,4,Will Kengor,BOTTOM,"Ball, 4 Will Kengor putout (6-3) for out number 2",1,0,,,1,,Akeem Bostick
14,16,Zane Zurbrugg,BOTTOM,16 Zane Zurbrugg advances to 1st (single),0,0,1,,,,Akeem Bostick
15,10,Aaron Takacs,BOTTOM,"Called Strike, Called Strike, Ball, 16 Zane Zurbrugg advances to 2nd (stolen base), 10 Aaron Takacsputout (dropped 3rd strike: KS 2) for out number 3",1,2,,,1,,Akeem Bostick
16,16,Hunter Clanin,TOP,"Called Strike, Ball, Ball, Ball, Foul, 16 Hunter Clanin putout (5-3) for out number 1",3,2,,1,,J Roeder,
