Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,0,Osvaldo Martinez,TOP,"Called Strike, Ball, Ball, Foul, Ball, Foul, 0 Osvaldo Martinez putout (1-3) for out number 1",3,2,,1,,H Francis,
2,3,Jordan Barth,TOP,"Ball, Foul, Foul, 3 Jordan Barth putout (strike out swinging) for out number 2",1,2,,1,,H Francis,
3,11,Jabari Henry,TOP,"Ball, Ball, Called Strike, Ball, Called Strike, Foul, 11 Jabari Henry advances to 1st (walk)",3,2,,,,H Francis,
4,21,Darnell Sweeney,TOP,"Called Strike, Ball, Ball, Called Strike, Ball, 21Darnell Sweeney putout (strike out swinging) forout number 3",3,2,,1,,H Francis,
5,17,Daniel Lingua,BOTTOM,"Called Strike, Called Strike, Foul, Foul, 17 Daniel Lingua putout (strike out) for out number 1",0,2,,,1,,Ty Culbreth
6,29,Gio Diaz,BOTTOM,"Ball, Ball, Foul, Foul, 29 Gio Diaz putout (6-3) for out number 2",2,2,,,1,,Ty Culbreth
7,44,Jackson Valera,BOTTOM,"Ball, Ball, 44 Jackson Valera putout (3-1) for outnumber 3",2,0,,,1,,Ty Culbreth
8,5,Trevor Achenbach,TOP,"Ball, 5 Trevor Achenbach putout (fly out to left field) for out number 1",1,0,,1,,H Francis,
9,16,Hunter Clanin,TOP,"Called Strike, Foul, Ball, Ball, 16 Hunter Claninputout (strike out) for out number 2",2,2,,1,,H Francis,
10,15,Welington Dotel,TOP,"Called Strike, 15 Welington Dotel putout (4-3) forout number 3",0,1,,1,,H Francis,
11,25,Jesus Marriaga,BOTTOM,"Ball, Ball, 25 Jesus Marriaga Scores Earned (homerun)",2,0,,,,,Ty Culbreth
12,4,Jacob Bockelie,BOTTOM,"Called Strike, Called Strike, Ball, Ball, 4 JacobBockelie putout (strike out swinging) for out number 1",2,2,,,1,,Ty Culbreth
13,20,LG Castillo,BOTTOM,"Ball, Called Strike, Swinging Strike, Ball, 20 LGCastillo putout (strike out swinging) for out number 2",2,2,,,1,,Ty Culbreth
14,22,Francisco Del,BOTTOM,"Valle Called Strike, Foul, Foul, 22 Francisco Del Valleputout (strike out swinging) for out number 3",0,2,,,1,,Ty Culbreth
15,35,Shamoy Christopher,TOP,"Called Strike, Called Strike, 35 Shamoy Christopher putout (fly out to right field) for out number 1",0,2,,1,,H Francis,
16,1,Wyatt Ulrich,TOP,"Ball, Called Strike, Called Strike, Ball, Ball, Foul, 1 Wyatt Ulrich advances to 1st (single to shortstop)",3,2,1,,,H Francis,
17,0,Osvaldo Martinez,TOP,"Called Strike, 1 Wyatt Ulrich advances to 2nd (stolen base), Ball, 0 Osvaldo Martinez putout (fly out to right field) for out number 2",1,1,,1,,H Francis,
18,3,Jordan Barth,TOP,"Ball, Called Strike, 3 Jordan Barth putout (L6) for out number 3",1,1,,1,,H Francis,
19,14,Seth Caddell,BOTTOM,"Called Strike, Foul, 14 Seth Caddell putout (fly out to center field) for out number 1",0,2,,,1,,Ty Culbreth
20,34,Jose Contreras,BOTTOM,"Swinging Strike, Swinging Strike, 34 Jose Contreras putout (strike out swinging) for out number 2",0,2,,,1,,Ty Culbreth
21,17,Daniel Lingua,BOTTOM,"Ball, Foul, Ball, Ball, 17 Daniel Lingua putout (fly out to center field) for out number 3",3,1,,,1,,Ty Culbreth
22,11,Jabari Henry,TOP,"Ball, Ball, Ball, Called Strike, 11 Jabari Henry advances to 1st (walk)",3,1,,,,H Francis,
23,21,Darnell Sweeney,TOP,"11 Jabari Henry putout (4-6) for out number 1, 21Darnell Sweeney putout (4-6-3 DP) for out number 2",0,0,,1,,H Francis,
24,5,Trevor Achenbach,TOP,"Ball, Called Strike, Swinging Strike, Ball, Ball,Foul, 5 Trevor Achenbach advances to 1st (walk)",3,2,,,,H Francis,
25,16,Hunter Clanin,TOP,"Foul, Ball, 5 Trevor Achenbach advances to 2nd (stolen base), 5 Trevor Achenbach Scores Earned (16),16 Hunter Clanin Scores Earned (home run)",1,1,1,,,H Francis,
26,15,Welington Dotel,TOP,"Called Strike, Ball, Swinging Strike, Ball, Foul,Foul, Foul, 15 Welington Dotel putout (strike outswinging) for out number 3",2,2,,1,,H Francis,
27,29,Gio Diaz,BOTTOM,29 Gio Diaz advances to 2nd (double),0,0,1,,,,Ty Culbreth
28,44,Jackson Valera,BOTTOM,"Ball, Ball, 44 Jackson Valera putout (6) for out number 1, 29 Gio Diaz putout (6-4 DP) for out number 2",2,0,,,1,,Ty Culbreth
29,25,Jesus Marriaga,BOTTOM,"Called Strike, Called Strike, Ball, Ball, Ball, 25Jesus Marriaga putout (strike out) for out number3",3,2,,,1,,Ty Culbreth
30,35,Shamoy Christopher,TOP,"Ball, Ball, Swinging Strike, Ball, Swinging Strike, 35 Shamoy Christopher advances to 2nd (double)",3,2,1,,,H Francis,
31,1,Wyatt Ulrich,TOP,"1 Wyatt Ulrich advances to 1st (single), 35 ShamoyChristopher advances to 3rd (1)",0,0,1,,,H Francis,
32,0,Osvaldo Martinez,TOP,"Ball, Called Strike, 1 Wyatt Ulrich advances to 2nd (0), 35 Shamoy Christopher Scores Earned (0), 0Osvaldo Martinez putout (4UA) for out number 1",1,1,,1,,H Francis,
33,3,Jordan Barth,TOP,"Ball, Swinging Strike, 3 Jordan Barth advances to1st (single to left field), 1 Wyatt Ulrich advances to 3rd (3)",1,1,1,,,H Francis,
34,11,Jabari Henry,TOP,"Ball, 1 Wyatt Ulrich Scores Earned (11), 11 JabariHenry putout (sacrifice fly to right fielder) forout number 2",1,0,,1,,H Francis,
35,21,Darnell Sweeney,TOP,"Foul, Swinging Strike, Ball, 3 Jordan Barth advances to 2nd (stolen base), Ball, 21 Darnell Sweeneyadvances to 2nd (double), 3 Jordan Barth Scores Earned (21)",2,2,1,,,H Francis,
36,5,Trevor Achenbach,TOP,"Ball, Ball, Ball, Called Strike, 5 Trevor Achenbach advances to 1st (walk)",3,1,,,,H Francis,
37,16,Hunter Clanin,TOP,"Ball, Swinging Strike, Ball, Called Strike, 16 Hunter Clanin putout (strike out swinging) for out number 3",2,2,,1,,H Francis,
38,4,Jacob Bockelie,BOTTOM,"Ball, 4 Jacob Bockelie putout (fly out to right field) for out number 1",1,0,,,1,,Ty Culbreth
39,20,LG Castillo,BOTTOM,"Swinging Strike, Swinging Strike, 20 LG Castillo advances to 1st (error by the third baseman), 20 LGCastillo advances to 2nd (20)",0,2,,,,,Ty Culbreth
40,22,Francisco Del,BOTTOM,"Valle Called Strike, Swinging Strike, 20 LG Castillo advances to 3rd (22), 22 Francisco Del Valle putout (fly out to center field) for out number 2",0,2,,,1,,Ty Culbreth
41,14,Seth Caddell,BOTTOM,"Ball, 20 LG Castillo Scores Unearned (14), 14 SethCaddell Scores Unearned (home run)",1,0,1,,,,Ty Culbreth
42,34,Jose Contreras,BOTTOM,"Swinging Strike, Foul, Ball, Ball, 34 Jose Contreras putout (6-3) for out number 3",2,2,,,1,,Ty Culbreth
43,15,Welington Dotel,TOP,"Called Strike, Ball, Foul, Ball, Ball, 15 Welington Dotel putout (fly out to right field) for out number 1",3,2,,1,,H Francis,
44,35,Shamoy Christopher,TOP,"Called Strike, Swinging Strike, Ball, Ball, 35 Shamoy Christopher putout (strike out) for out number2",2,2,,1,,H Francis,
45,1,Wyatt Ulrich,TOP,"Called Strike, Ball, 1 Wyatt Ulrich putout (3UA) for out number 3",1,1,,1,,H Francis,
46,17,Daniel Lingua,BOTTOM,"Called Strike, Called Strike, Ball, Foul, 17 Daniel Lingua advances to 1st (single to center field)",1,2,1,,,,Ty Culbreth
47,29,Gio Diaz,BOTTOM,"Ball, Called Strike, Foul, Foul, 17 Daniel Linguaadvances to 2nd (29), 29 Gio Diaz putout (6-3) forout number 1",1,2,,,1,,Ty Culbreth
48,44,Jackson Valera,BOTTOM,"Ball, 17 Daniel Lingua advances to 3rd (44), 44 Jackson Valera putout (3UA) for out number 2",1,0,,,1,,Ty Culbreth
49,25,Jesus Marriaga,BOTTOM,"17 Daniel Lingua Scores Earned (25), 25 Jesus Marriaga Scores Earned (home run)",0,0,1,,,,Ty Culbreth
50,4,Jacob Bockelie,BOTTOM,"Ball, Ball, Foul, Foul, Ball, Foul, 4 Jacob Bockelie advances to 1st (walk)Pitching Substitution    22 Jose Cruz subs for Mitchell Walters Pitcher.",3,2,,,,,Ty Culbreth
51,20,LG Castillo,BOTTOM,"Swinging Strike, 20 LG Castillo putout (4-3) for out number 3",0,1,,,1,,Ty Culbreth
52,0,Osvaldo Martinez,TOP,"Called Strike, 0 Osvaldo Martinez putout (P6) forout number 1",0,1,,1,,A Phillips,
53,3,Jordan Barth,TOP,"Called Strike, 3 Jordan Barth putout (fly out to the first baseman in foul territory) for out number2",0,1,,1,,A Phillips,
54,11,Jabari Henry,TOP,"Ball, Ball, Called Strike, Ball, 11 Jabari Henry advances to 1st (walk)",3,1,,,,A Phillips,
55,21,Darnell Sweeney,TOP,"Called Strike, Ball, 11 Jabari Henry advances to 2nd (wild pitch), 21 Darnell Sweeney putout (3UA) for out number 3",1,1,,1,,A Phillips,
56,22,Francisco Del,BOTTOM,"Valle Ball, Ball, 22 Francisco Del Valle advances to 1st(single)",2,0,1,,,,Ty Culbreth
57,14,Seth Caddell,BOTTOM,"Foul, Ball, 22 Francisco Del Valle advances to 2nd(14), 14 Seth Caddell putout (1-3) for out number1",1,1,,,1,,Ty Culbreth
58,34,Jose Contreras,BOTTOM,"34 Jose Contreras advances to 2nd (double), 22 Francisco Del Valle Scores Earned (34)",0,0,1,,,,Chris LaLonde
59,17,Daniel Lingua,BOTTOM,"Called Strike, 34 Jose Contreras advances to 3rd (17), 17 Daniel Lingua putout (6-3) for out number2",0,1,,,1,,Chris LaLonde
60,29,Gio Diaz,BOTTOM,"Foul, Ball, Ball, Swinging Strike, Ball, 29 Gio Diaz putout (P4) for out number 3",3,2,,,1,,Chris LaLonde
61,5,Trevor Achenbach,TOP,"Ball, Ball, 5 Trevor Achenbach advances to 2nd (double)",2,0,1,,,A Phillips,
62,16,Hunter Clanin,TOP,"Called Strike, Ball, Foul, Ball, Foul, 16 Hunter Clanin advances to 1st (single to center field), 16Hunter Clanin advances to 2nd (16), 5 Trevor Achenbach Scores Earned (16)",2,2,1,,,A Phillips,
63,15,Welington Dotel,TOP,15 Welington Dotel putout (5-3) for out number 1,0,0,,1,,A Phillips,
