Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,21,Darnell Sweeney,TOP,"Called Strike, Called Strike, Foul, Ball, 21 Darnell Sweeney putout (dropped 3rd strike: KS 2U) forout number 1",1,2,,1,
2,3,Jordan Barth,TOP,"Ball, Foul, Swinging Strike, 3 Jordan Barth putout(strike out swinging) for out number 2",1,2,,1,
3,11,Jabari Henry,TOP,"Called Strike, Foul, 11 Jabari Henry putout (strike out) for out number 3",0,2,,1,
4,19,Matt Bottcher,BOTTOM,"Called Strike, Ball, Ball, Ball, 19 Matt Bottcherputout (4-3) for out number 1",3,1,,,1
5,11,Brennan Metzger,BOTTOM,"Ball, Called Strike, Ball, Called Strike, FoulOffensive Substitution   4 General McArthur IV subs for Brennan Metzger.",2,2,,,
6,4,General McArthur,BOTTOM,IV  4 General McArthur IV putout (strike out) for outnumber 2,0,0,,,1
7,15,Ryan Lidge,BOTTOM,"Ball, Ball, 15 Ryan Lidge advances to 1st (singleto center field)",2,0,1,,
8,16,Josh Altmann,BOTTOM,"Called Strike, Foul, Foul, Foul, 16 Josh Altmann advances to 1st (single to left field), 15 Ryan Lidge advances to 2nd (16)",0,2,1,,
9,14,Jesus Lujano,BOTTOM,"Called Strike, 14 Jesus Lujano advances to 1st (hit by pitch), 16 Josh Altmann advances to 2nd (14),15 Ryan Lidge advances to 3rd (14)",0,1,,,
10,24,David Maberry,BOTTOM,24 David Maberry putout (4-3) for out number 3,0,0,,,1
11,20,Mike Hart,TOP,"Foul, Ball, Called Strike, Ball, Ball, Foul, Foul,20 Mike Hart putout (strike out swinging) for outnumber 1",3,2,,1,
12,15,Welington Dotel,TOP,"Ball, Ball, Ball, 15 Welington Dotel advances to 1st (walk)",3,0,,,
13,16,Hunter Clanin,TOP,"Called Strike, Ball, Called Strike, 16 Hunter Clanin advances to 1st (single to center field), 15 Welington Dotel advances to 2nd (16)",1,2,1,,
14,5,Trevor Achenbach,TOP,"Called Strike, Ball, 5 Trevor Achenbach putout (fly out to center field) for out number 2",1,1,,1,
15,35,Shamoy Christopher,TOP,"Called Strike, Called Strike, Foul, Ball, Foul, 35Shamoy Christopher putout (strike out) for out number 3",1,2,,1,
16,5,Luke Mangieri,BOTTOM,"Called Strike, 5 Luke Mangieri putout (P5) for outnumber 1",0,1,,,1
17,6,Cody Bohanek,BOTTOM,"Called Strike, Ball, Ball, Ball, Foul, 6 Cody Bohanek putout (strike out swinging) for out number 2",3,2,,,1
18,8,Taylor Jackson,BOTTOM,"Called Strike, 8 Taylor Jackson putout (6-3) for out number 3",0,1,,,1
