Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,21,Darnell Sweeney,TOP,"Ball, Foul, Called Strike, Ball, Ball, Foul, 21 Darnell Sweeney putout (strike out) for out number 1",3,2,,1,,Mitchell Walters,
2,3,Jordan Barth,TOP,"Foul, Foul, 3 Jordan Barth putout (strike out swinging) for out number 2",0,2,,1,,Mitchell Walters,
3,15,Welington Dotel,TOP,"Called Strike, Foul, 15 Welington Dotel putout (strike out swinging) for out number 3",0,2,,1,,Mitchell Walters,
4,11,Delvin Zinn,BOTTOM,"Called Strike, Ball, Called Strike, 11 Delvin Zinnputout (strike out swinging) for out number 1",1,2,,,1,,S Bates
5,7,Matt Lloyd,BOTTOM,"Ball, Called Strike, Ball, Called Strike, 7 Matt Lloyd putout (4-3) for out number 2",2,2,,,1,,S Bates
6,8,Vince Fernandez,BOTTOM,"Called Strike, Ball, Ball, Ball, 8 Vince Fernandezputout (fly out to right field) for out number 3",3,1,,,1,,S Bates
7,11,Jabari Henry,TOP,"Foul, Foul, Ball, 11 Jabari Henry putout (strike out swinging) for out number 1",1,2,,1,,Mitchell Walters,
8,16,Hunter Clanin,TOP,"Called Strike, Swinging Strike, Foul, 16 Hunter Clanin putout (strike out swinging) for out number 2",0,2,,1,,Mitchell Walters,
9,0,Osvaldo Martinez,TOP,"Called Strike, Foul, Ball, 0 Osvaldo Martinez putout (1-3) for out number 3",1,2,,1,,Mitchell Walters,
10,33,Jake Ortega,BOTTOM,"Called Strike, Ball, Foul, 33 Jake Ortega putout (4-3) for out number 1",1,2,,,1,,S Bates
11,6,Tyler Rando,BOTTOM,"Called Strike, Ball, Ball, Ball, Called Strike, 6Tyler Rando advances to 1st (error by the first baseman)",3,2,,,,,S Bates
12,18,Daniel Perez,BOTTOM,"Ball, Ball, Pickoff attempt at 1st base (catcher to first baseman), 6 Tyler Rando putout (6-4) for out number 2, 18 Daniel Perez putout (6-4-3 DP) forout number 3",2,0,,,1,,S Bates
13,33,Tyler Ryan,TOP,"Called Strike, Foul, 33 Tyler Ryan putout (strikeout swinging) for out number 1",0,2,,1,,Mitchell Walters,
14,2,Marshall Rich,TOP,"Called Strike, Ball, Swinging Strike, 2 Marshall Rich putout (strike out swinging) for out number 2",1,2,,1,,Mitchell Walters,
15,1,Wyatt Ulrich,TOP,"Ball, 1 Wyatt Ulrich putout (3UA) for out number 3",1,0,,1,,Mitchell Walters,
16,1,Chase Harris,BOTTOM,"Called Strike, Foul, Foul, Ball, Foul, Foul, Ball,1 Chase Harris putout (strike out swinging) for out number 1",2,2,,,1,,S Bates
17,37,Kyle Kasser,BOTTOM,"Ball, Ball, Ball, Called Strike, Called Strike, 37Kyle Kasser putout (1-3) for out number 2",3,2,,,1,,S Bates
18,24,Wilfredo Gimenez,BOTTOM,"Called Strike, Ball, Ball, Called Strike, 24 Wilfredo Gimenez advances to 1st (single to third base)",2,2,1,,,,S Bates
19,11,Delvin Zinn,BOTTOM,"Ball, Ball, 11 Delvin Zinn advances to 1st (singleto left field), 24 Wilfredo Gimenez advances to 2nd (11)",2,0,1,,,,S Bates
20,7,Matt Lloyd,BOTTOM,"Ball, 7 Matt Lloyd advances to 1st (hit by pitch),11 Delvin Zinn advances to 2nd (7), 24 Wilfredo Gimenez advances to 3rd (7)",1,0,,,,,S Bates
21,8,Vince Fernandez,BOTTOM,"Called Strike, Ball, Ball, Foul, Foul, Ball, Foul,8 Vince Fernandez putout (strike out swinging) for out number 3",3,2,,,1,,S Bates
22,21,Darnell Sweeney,TOP,"Called Strike, Ball, Foul, Ball, Foul, Ball, Foul,21 Darnell Sweeney advances to 1st (walk)",3,2,,,,Mitchell Walters,
23,3,Jordan Barth,TOP,"Foul, 21 Darnell Sweeney advances to 2nd (3), 3 Jordan Barth putout (3UA) for out number 1",0,1,,1,,Mitchell Walters,
24,15,Welington Dotel,TOP,"Foul, Foul, 15 Welington Dotel advances to 2nd (double to center field), 21 Darnell Sweeney Scores Earned (15)",0,2,1,,,Mitchell Walters,
25,11,Jabari Henry,TOP,"Called Strike, Foul, Ball, Ball, 11 Jabari Henry putout (strike out) for out number 2",2,2,,1,,Mitchell Walters,
26,16,Hunter Clanin,TOP,"Ball, Ball, Ball, Called Strike, Called Strike, 16Hunter Clanin putout (fly out to center field) for out number 3",3,2,,1,,Mitchell Walters,
27,33,Jake Ortega,BOTTOM,"Ball, Foul, Ball, Ball, Swinging Strike, 33 Jake Ortega putout (fly out to center field) for out number 1",3,2,,,1,,S Bates
28,6,Tyler Rando,BOTTOM,"Ball, Ball, Ball, 6 Tyler Rando advances to 1st (walk)",3,0,,,,,S Bates
29,18,Daniel Perez,BOTTOM,"Called Strike, Foul, 18 Daniel Perez advances to 1st (single to right field), 6 Tyler Rando advancesto 3rd (18)",0,2,1,,,,S Bates
30,1,Chase Harris,BOTTOM,"Foul, Foul, Foul, Ball, 1 Chase Harris putout (strike out swinging) for out number 2",1,2,,,1,,S Bates
31,37,Kyle Kasser,BOTTOM,37 Kyle Kasser putout (fly out to left field) forout number 3,0,0,,,1,,S Bates
32,0,Osvaldo Martinez,TOP,"Ball, Swinging Strike, Foul, Foul, Ball, Ball, 0 Osvaldo Martinez putout (6-3) for out number 1",3,2,,1,,Mitchell Walters,
33,33,Tyler Ryan,TOP,"Swinging Strike, 33 Tyler Ryan putout (4-3) for out number 2",0,1,,1,,Mitchell Walters,
34,2,Marshall Rich,TOP,2 Marshall Rich putout (4-3) for out number 3,0,0,,1,,Mitchell Walters,
35,24,Wilfredo Gimenez,BOTTOM,"Called Strike, Swinging Strike, 24 Wilfredo Gimenez putout (5-3) for out number 1",0,2,,,1,,S Bates
36,11,Delvin Zinn,BOTTOM,"Foul, Ball, Ball, Ball, 11 Delvin Zinn advances to1st (single to right field)",3,1,1,,,,S Bates
37,7,Matt Lloyd,BOTTOM,"Pickoff attempt at 1st base (pitcher to first baseman), Ball, Ball, 11 Delvin Zinn advances to 2nd (stolen base), Foul, Ball, 11 Delvin Zinn putout (caught stealing: CS 2-5) for out number 2, 7 Matt Lloyd advances to 1st (walk)",3,1,,,1,,S Bates
38,8,Vince Fernandez,BOTTOM,"8 Vince Fernandez advances to 1st (fielder's choice), 7 Matt Lloyd putout (4-6) for out number 3",0,0,,,1,,S Bates
39,1,Wyatt Ulrich,TOP,"Foul, Ball, Ball, Foul, 1 Wyatt Ulrich putout (6-3) for out number 1",2,2,,1,,Mitchell Walters,
40,21,Darnell Sweeney,TOP,"Swinging Strike, Swinging Strike, Foul, Ball, Ball, Foul, Ball, Foul, 21 Darnell Sweeney putout (strike out swinging) for out number 2",3,2,,1,,Mitchell Walters,
41,3,Jordan Barth,TOP,"Swinging Strike, Foul, 3 Jordan Barth advances to1st (single to right field)",0,2,1,,,Mitchell Walters,
42,15,Welington Dotel,TOP,"Called Strike, 15 Welington Dotel advances to 1st(single to right field), 3 Jordan Barth advances to 3rd (15)",0,1,1,,,Mitchell Walters,
43,11,Jabari Henry,TOP,"Ball, Ball, Called Strike, Foul, 11 Jabari Henry putout (strike out swinging) for out number 3",2,2,,1,,Mitchell Walters,
44,33,Jake Ortega,BOTTOM,"Swinging Strike, Foul, Foul, Foul, Ball, Ball, 33Jake Ortega putout (4-3) for out number 1",2,2,,,1,,S Bates
45,6,Tyler Rando,BOTTOM,"Ball, Ball, Ball, Called Strike, Called Strike, Foul, 6 Tyler Rando advances to 1st (walk)",3,2,,,,,S Bates
46,18,Daniel Perez,BOTTOM,"Foul, Ball, Foul, Ball, Foul, Foul, Foul, 18 Daniel Perez advances to 1st (single to right field), 6Tyler Rando advances to 3rd (18)Pitching Substitution    12 D.J. Sharabi subs for Mitchell Walters Pitcher.",2,2,1,,,,S Bates
47,1,Chase Harris,BOTTOM,"Foul, Ball, Ball, Ball, 1 Chase Harris advances to1st (walk), 18 Daniel Perez advances to 2nd (1)",3,1,,,,,S Bates
48,37,Kyle Kasser,BOTTOM,"Ball, 6 Tyler Rando Scores Earned (37), 37 Kyle Kasser putout (sacrifice fly to left fielder) for out number 2",1,0,,,1,,S Bates
49,24,Wilfredo Gimenez,BOTTOM,"Ball, Ball, Called Strike, Foul, Ball, Foul, 24 Wilfredo Gimenez advances to 1st (single to left field), 1 Chase Harris advances to 2nd (24), 18 Daniel Perez Scores Earned (24)",3,2,1,,,,K Hasler
50,11,Delvin Zinn,BOTTOM,"Called Strike, Called Strike, 24 Wilfredo Gimenezadvances to 2nd (wild pitch), 1 Chase Harris advances to 3rd (stolen base), 1 Chase Harris Scores Earned (wild pitch), Ball, Ball, Ball, 11 Delvin Zinn putout (5-3) for out number 3",3,2,,,1,,K Hasler
51,16,Hunter Clanin,TOP,"Ball, Ball, 16 Hunter Clanin putout (6-3) for outnumber 1",2,0,,1,,Mitchell Walters,
52,0,Osvaldo Martinez,TOP,"Called Strike, Ball, Ball, Foul, Ball, 0 Osvaldo Martinez putout (strike out swinging) for out number 2",3,2,,1,,Mitchell Walters,
53,33,Tyler Ryan,TOP,"Swinging Strike, Ball, Swinging Strike, Foul, Foul, 33 Tyler Ryan advances to 3rd (triple to centerfield)",1,2,1,,,DJ Sharabi,
54,2,Marshall Rich,TOP,"Foul, Foul, Ball, 2 Marshall Rich putout (6-3) forout number 3",1,2,,1,,DJ Sharabi,
55,7,Matt Lloyd,BOTTOM,"Swinging Strike, 7 Matt Lloyd advances to 1st (error by the third baseman), 7 Matt Lloyd advances to2nd (error by the pitcher), 7 Matt Lloyd advancesto 3rd (7)",0,1,,,,,K Hasler
