Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,37,Kyle Kasser,TOP,37 Kyle Kasser putout (fly out to left field) forout number 1,0,0,,1,,Neil Lang,
2,1,Chase Harris,TOP,"Ball, Ball, Ball, Called Strike, Called Strike, 1Chase Harris advances to 1st (walk)",3,2,,,,Neil Lang,
3,8,Vince Fernandez,TOP,"8 Vince Fernandez advances to 2nd (double), 1 Chase Harris advances to 3rd (8)",0,0,1,,,Neil Lang,
4,4,Miguel Sierra,TOP,"Ball, Foul, Ball, Ball, Called Strike, Foul, Foul,Foul, 4 Miguel Sierra advances to 1st (walk)",3,2,,,,Neil Lang,
5,7,Matt Lloyd,TOP,"Called Strike, Ball, Foul, 7 Matt Lloyd putout (3)for out number 2",1,2,,1,,Neil Lang,
6,24,Wilfredo Gimenez,TOP,24 Wilfredo Gimenez putout (fly out to right field) for out number 3,0,0,,1,,Neil Lang,
7,11,Jabari Henry,BOTTOM,11 Jabari Henry advances to 1st (error by the third baseman),0,0,,,,,M Verburg
8,21,Darnell Sweeney,BOTTOM,"Ball, 21 Darnell Sweeney putout (fly out to left field) for out number 1",1,0,,,1,,M Verburg
9,1,Wyatt Ulrich,BOTTOM,"Ball, 1 Wyatt Ulrich advances to 1st (fielder's choice), 11 Jabari Henry putout (6-4) for out number2",1,0,,,1,,M Verburg
10,15,Welington Dotel,BOTTOM,"Called Strike, Ball, 1 Wyatt Ulrich advances to 2nd (stolen base), Called Strike, Foul, Ball, Foul,15 Welington Dotel advances to 1st (single), 1 Wyatt Ulrich advances to 3rd (15)",2,2,1,,,,M Verburg
11,3,Jordan Barth,BOTTOM,"Ball, 15 Welington Dotel advances to 2nd (stolen base), Ball, Ball, 3 Jordan Barth advances to 1st (walk)",3,0,,,,,M Verburg
12,16,Hunter Clanin,BOTTOM,"Ball, Swinging Strike, Foul, 16 Hunter Clanin putout (strike out swinging) for out number 3",1,2,,,1,,M Verburg
13,18,Daniel Perez,TOP,"Ball, Ball, Called Strike, 18 Daniel Perez putout(6-3) for out number 1",2,1,,1,,Neil Lang,
14,5,Eury Perez,TOP,"Called Strike, Foul, Ball, Ball, Foul, Ball, 5 Eury Perez putout (4-3) for out number 2",3,2,,1,,Neil Lang,
15,3,Jack Kelly,TOP,"Foul, Ball, Ball, Ball, Called Strike, Foul, 3 Jack Kelly advances to 1st (walk)",3,2,,,,Neil Lang,
16,37,Kyle Kasser,TOP,"Called Strike, Ball, Ball, Ball, Foul, 37 Kyle Kasser advances to 2nd (double), 3 Jack Kelly ScoresEarned (37)",3,2,1,,,Neil Lang,
17,1,Chase Harris,TOP,"Foul, Ball, 37 Kyle Kasser advances to 3rd (wild pitch), 1 Chase Harris putout (L6) for out number 3",1,1,,1,,Neil Lang,
18,0,Osvaldo Martinez,BOTTOM,"Ball, Foul, 0 Osvaldo Martinez putout (fly out toright field) for out number 1",1,1,,,1,,M Verburg
19,5,Trevor Achenbach,BOTTOM,"Ball, 5 Trevor Achenbach advances to 1st (single)",1,0,1,,,,M Verburg
20,33,Tyler Ryan,BOTTOM,"Ball, Swinging Strike, Ball, Foul, Foul, Foul, 33Tyler Ryan putout (strike out) for out number 2",2,2,,,1,,M Verburg
21,11,Jabari Henry,BOTTOM,"Foul, Ball, Ball, 5 Trevor Achenbach advances to 2nd (stolen base), 11 Jabari Henry putout (fly outto center field) for out number 3",2,1,,,1,,M Verburg
22,8,Vince Fernandez,TOP,"Foul, 8 Vince Fernandez putout (fly out to centerfield) for out number 1",0,1,,1,,Neil Lang,
23,4,Miguel Sierra,TOP,"Ball, Ball, Ball, Called Strike, 4 Miguel Sierra advances to 1st (walk)",3,1,,,,Neil Lang,
24,7,Matt Lloyd,TOP,"Ball, Ball, Foul, 7 Matt Lloyd advances to 1st (single), 4 Miguel Sierra advances to 2nd (7)",2,1,1,,,Neil Lang,
25,24,Wilfredo Gimenez,TOP,"Ball, Ball, Ball, Called Strike, 24 Wilfredo Gimenez putout (L4) for out number 2",3,1,,1,,Neil Lang,
26,18,Daniel Perez,TOP,"Ball, Ball, Swinging Strike, 18 Daniel Perez advances to 1st (fielder's choice), 4 Miguel Sierra putout (6-5) for out number 3",2,1,,1,,Neil Lang,
27,21,Darnell Sweeney,BOTTOM,"Ball, 21 Darnell Sweeney putout (fly out to rightfield) for out number 1",1,0,,,1,,M Verburg
28,1,Wyatt Ulrich,BOTTOM,"Called Strike, 1 Wyatt Ulrich advances to 2nd (double)",0,1,1,,,,M Verburg
29,15,Welington Dotel,BOTTOM,"Ball, Swinging Strike, 1 Wyatt Ulrich advances to3rd (stolen base), Swinging Strike, 15 Welington Dotel advances to 1st (single), 1 Wyatt Ulrich Scores Earned (15)",1,2,1,,,,M Verburg
30,3,Jordan Barth,BOTTOM,"Ball, 15 Welington Dotel putout (5-4) for out number 2, 3 Jordan Barth putout (5-4-3 DP) for out number 3",1,0,,,1,,M Verburg
31,5,Eury Perez,TOP,"Swinging Strike, 5 Eury Perez putout (1-3) for outnumber 1",0,1,,1,,Neil Lang,
32,3,Jack Kelly,TOP,3 Jack Kelly putout (fly out to right field) for out number 2,0,0,,1,,Neil Lang,
33,37,Kyle Kasser,TOP,"Ball, Called Strike, Ball, Ball, 37 Kyle Kasser advances to 1st (walk)",3,1,,,,Neil Lang,
34,1,Chase Harris,TOP,"Ball, 1 Chase Harris putout (L6) for out number 3",1,0,,1,,Neil Lang,
35,16,Hunter Clanin,BOTTOM,"Ball, Ball, Called Strike, Ball, 16 Hunter Claninadvances to 1st (single)",3,1,1,,,,M Verburg
36,0,Osvaldo Martinez,BOTTOM,"Called Strike, 16 Hunter Clanin putout (caught stealing: CS 2-4) for out number 1, Ball, Ball, 0 Osvaldo Martinez putout (5-3) for out number 2",2,1,,,1,,M Verburg
37,5,Trevor Achenbach,BOTTOM,"Called Strike, Swinging Strike, Foul, Ball, 5 Trevor Achenbach putout (4) for out number 3",1,2,,,1,,M Verburg
38,8,Vince Fernandez,TOP,"Foul, Foul, 8 Vince Fernandez putout (fly out to right field) for out number 1",0,2,,1,,Neil Lang,
39,4,Miguel Sierra,TOP,4 Miguel Sierra putout (fly out to right field) for out number 2,0,0,,1,,Neil Lang,
40,7,Matt Lloyd,TOP,"Called Strike, Called Strike, Ball, Ball, 7 Matt Lloyd putout (fly out to center field) for out number 3",2,2,,1,,Neil Lang,
41,33,Tyler Ryan,BOTTOM,"Called Strike, Ball, 33 Tyler Ryan putout (fly outto left field) for out number 1",1,1,,,1,,F Peguero
42,11,Jabari Henry,BOTTOM,"Foul, Ball, 11 Jabari Henry putout (fly out to right field) for out number 2",1,1,,,1,,F Peguero
43,21,Darnell Sweeney,BOTTOM,"Ball, Foul, Ball, 21 Darnell Sweeney putout (fly out to the catcher) for out number 3",2,1,,,1,,F Peguero
44,24,Wilfredo Gimenez,TOP,"Called Strike, Foul, Ball, Foul, Ball, 24 WilfredoGimenez putout (strike out swinging) for out number 1",2,2,,1,,Neil Lang,
45,18,Daniel Perez,TOP,18 Daniel Perez putout (fly out to left field) forout number 2,0,0,,1,,Neil Lang,
46,5,Eury Perez,TOP,"Ball, 5 Eury Perez putout (4-3) for out number 3",1,0,,1,,Neil Lang,
47,1,Wyatt Ulrich,BOTTOM,"Ball, Called Strike, Ball, Foul, Ball, 1 Wyatt Ulrich putout (fly out to left field) for out number1",3,2,,,1,,F Peguero
48,15,Welington Dotel,BOTTOM,"Called Strike, Foul, 15 Welington Dotel putout (dropped 3rd strike: KS 2) for out number 2",0,2,,,1,,F Peguero
49,3,Jordan Barth,BOTTOM,"Called Strike, Ball, Foul, Ball, Foul, Ball, 3 Jordan Barth advances to 1st (single)",3,2,1,,,,F Peguero
50,16,Hunter Clanin,BOTTOM,"Ball, Foul, Ball, 16 Hunter Clanin putout (fly outto left field) for out number 3",2,1,,,1,,F Peguero
51,3,Jack Kelly,TOP,"Called Strike, 3 Jack Kelly putout (4-3) for out number 1",0,1,,1,,Jerryell Rivera,
52,37,Kyle Kasser,TOP,37 Kyle Kasser putout (4-3) for out number 2,0,0,,1,,Jerryell Rivera,
53,1,Chase Harris,TOP,"Called Strike, Ball, Foul, 1 Chase Harris putout (strike out swinging) for out number 3",1,2,,1,,Jerryell Rivera,
54,0,Osvaldo Martinez,BOTTOM,"Ball, Ball, Called Strike, 0 Osvaldo Martinez advances to 1st (single)",2,1,1,,,,F Peguero
55,5,Trevor Achenbach,BOTTOM,"Ball, Swinging Strike, Called Strike, Ball, 0 Osvaldo Martinez advances to 2nd (stolen base), 5 Trevor Achenbach putout (strike out swinging) for outnumber 1",2,2,,,1,,F Peguero
56,33,Tyler Ryan,BOTTOM,33 Tyler Ryan putout (5-3) for out number 2,0,0,,,1,,F Peguero
57,11,Jabari Henry,BOTTOM,"Foul, 11 Jabari Henry advances to 1st (single), 0Osvaldo Martinez Scores Earned (11)",0,1,1,,,,F Peguero
58,21,Darnell Sweeney,BOTTOM,"Swinging Strike, Swinging Strike, 21 Darnell Sweeney putout (fly out to center field) for out number3",0,2,,,1,,F Peguero
59,8,Vince Fernandez,TOP,"Ball, Swinging Strike, Foul, Ball, 8 Vince Fernandez putout (strike out) for out number 1",2,2,,1,,Jerryell Rivera,
60,4,Miguel Sierra,TOP,"Ball, Ball, Ball, Swinging Strike, 4 Miguel Sierraputout (fly out to right field) for out number 2",3,1,,1,,Jerryell Rivera,
61,7,Matt Lloyd,TOP,"Ball, Ball, Called Strike, Swinging Strike, Foul,Ball, 7 Matt Lloyd advances to 1st (walk)Offensive Substitution   17 Jake Sanford subs for Wilfredo Gimenez.Pitching Substitution    22 Jose Cruz subs for Jerryell Rivera Pitcher.",3,2,,,,Jerryell Rivera,
62,17,Jake Sanford,TOP,"Called Strike, 7 Matt Lloyd advances to 2nd (stolen base), Swinging Strike, 17 Jake Sanford advancesto 1st (single), 7 Matt Lloyd Scores Earned (17)",0,2,1,,,Jose Cruz,
63,18,Daniel Perez,TOP,"Foul, Ball, Swinging Strike, Ball, Foul, Ball, Foul, Foul, Foul, 18 Daniel Perez putout (3un) for out number 3",3,2,,1,,Jose Cruz,
64,1,Wyatt Ulrich,BOTTOM,"Foul, Ball, Foul, 1 Wyatt Ulrich putout (strike out swinging) for out number 1",1,2,,,1,,F Peguero
65,15,Welington Dotel,BOTTOM,"Called Strike, Foul, 15 Welington Dotel putout (strike out) for out number 2",0,2,,,1,,F Peguero
66,3,Jordan Barth,BOTTOM,"Ball, 3 Jordan Barth putout (6-3) for out number 3",1,0,,,1,,F Peguero
67,5,Eury Perez,TOP,"Ball, Ball, 5 Eury Perez advances to 2nd (double)",2,0,1,,,Charlie Hasty,
68,3,Jack Kelly,TOP,"5 Eury Perez advances to 3rd (3), 3 Jack Kelly putout (5-3 SH) for out number 1",0,0,,1,,Charlie Hasty,
69,37,Kyle Kasser,TOP,"Ball, 37 Kyle Kasser putout (3) for out number 2",1,0,,1,,Charlie Hasty,
70,1,Chase Harris,TOP,"Swinging Strike, Ball, Ball, Ball, Foul, 1 Chase Harris putout (strike out swinging) for out number3",3,2,,1,,Charlie Hasty,
71,16,Hunter Clanin,BOTTOM,"Ball, Foul, Ball, Foul, 16 Hunter Clanin putout (strike out swinging) for out number 1",2,2,,,1,,F Peguero
72,0,Osvaldo Martinez,BOTTOM,0 Osvaldo Martinez putout (fly out to center field) for out number 2,0,0,,,1,,F Peguero
